% 1. Title: Classification
% 2. Sources:
% (a) Creator: Nuria Rodriguez, Eva Valls

@RELATION genre
@ATTRIBUTE the STRING
@ATTRIBUTE to STRING
@ATTRIBUTE and STRING
@ATTRIBUTE a STRING
@ATTRIBUTE of STRING
@ATTRIBUTE class {female,male}
@DATA
8,5,6,4,6,male
99,36,24,45,61,male
45,15,31,13,30,male
28,18,7,24,14,male
47,50,44,35,16,male
50,51,42,58,34,male
21,22,18,15,11,male
26,17,16,16,9,male
44,19,18,15,17,male
35,22,31,22,23,male
67,57,57,41,44,male
49,24,23,28,21,female
64,26,37,37,21,male
56,37,42,42,28,male
46,11,19,9,26,female
4,4,3,2,2,male
30,22,19,14,22,female
27,8,11,7,6,female
42,29,14,14,14,female
6,17,12,7,7,female
25,11,16,5,26,male
51,26,27,43,42,male
85,43,83,28,32,male
33,16,14,13,23,female
31,15,6,15,8,female
41,32,32,12,25,male
59,28,31,31,26,female
61,13,20,16,34,male
33,25,8,13,20,female
60,16,23,23,28,male
36,9,20,12,20,female
19,32,16,24,15,male
37,25,18,29,8,female
20,11,14,9,12,female
48,27,10,27,12,male
16,4,4,2,7,female
48,32,15,19,22,female
26,18,18,8,23,female
72,40,37,36,51,female
63,25,29,18,19,female
24,12,16,21,15,male
44,17,28,11,20,female
37,43,37,40,21,male
13,2,3,4,8,male
44,17,25,30,33,male
33,28,42,27,15,male
39,23,22,20,20,female
22,9,12,14,18,male
38,20,15,25,11,male
26,9,10,19,9,male
32,14,12,17,25,male
52,49,44,50,26,male
55,27,45,39,32,male
33,18,10,9,9,male
25,13,10,5,12,female
68,32,33,16,25,female
68,42,32,39,24,male
24,27,22,16,14,female
26,16,16,6,18,female
54,23,23,28,29,female
49,17,26,18,23,female
21,10,3,9,10,male
48,15,15,10,5,female
39,19,13,23,17,female
43,20,19,19,12,male
40,12,18,13,23,female
22,9,6,11,12,female
52,13,47,24,29,male
36,7,7,6,14,female
53,31,37,29,17,male
22,8,8,11,9,female
60,23,37,18,31,female
48,26,23,12,26,male
23,17,11,4,7,female
30,15,8,22,22,female
51,24,38,40,18,male
25,14,20,14,20,female
36,17,28,23,22,male
55,27,21,11,39,female
66,44,74,61,41,male
33,12,17,7,15,female
30,14,20,30,18,male
42,23,17,32,16,male
30,16,17,15,9,male
49,18,20,15,15,male
32,21,17,12,19,female
12,6,3,6,5,male
32,9,9,6,16,male
43,25,21,30,16,male
81,40,37,31,46,male
24,19,5,6,13,male
67,51,19,36,30,female
57,25,23,30,19,female
52,24,21,19,17,female
50,28,32,17,20,male
38,9,12,10,18,male
43,38,22,28,17,female
24,14,17,20,14,male
51,14,22,8,19,male
38,19,14,13,14,female
40,19,9,19,16,male
48,12,17,25,20,male
40,19,20,5,26,female
30,8,10,11,13,female
37,37,35,31,15,male
48,27,15,14,21,female
24,17,13,14,10,male
35,9,12,9,10,male
23,11,23,18,9,female
18,20,6,7,11,female
23,16,9,24,13,female
52,28,25,16,29,female
59,13,40,29,35,male
50,13,23,18,24,male
42,16,12,9,10,female
45,21,26,30,45,female
34,13,20,27,8,male
44,19,18,10,23,female
26,12,17,17,14,male
14,23,16,14,6,male
66,30,41,18,23,male
40,31,30,33,14,male
29,17,12,24,11,male
24,9,16,31,14,male
53,29,28,27,22,female
30,10,17,16,14,male
42,33,14,10,19,female
36,15,15,15,25,male
34,20,9,14,25,female
59,34,29,15,31,female
17,9,9,7,11,female
27,17,13,10,13,female
40,15,18,9,14,female
70,31,41,43,19,male
34,25,14,17,25,female
68,82,63,44,38,male
53,31,21,15,19,male
52,18,26,20,22,male
19,23,11,19,16,female
22,8,9,6,19,female
17,21,15,16,7,female
47,26,22,29,31,female
27,19,20,21,21,female
82,20,15,24,38,male
32,7,15,16,46,male
30,12,5,10,13,female
21,16,16,14,11,female
31,17,13,12,23,female
145,43,31,15,48,female
